#Constant Temperature fit results; RIPL III discrete level library; December 2021 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
  11  34 Na   1.53634   0.20920   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  35 Na   1.50203   0.20861   0.00000   1.00000   4   1   1   2  0.00000  0.00000                  0             0.000
  11  36 Na   1.46606   0.20289   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  37 Na   1.42890   0.19257   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  38 Na   1.39126   0.17897   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  39 Na   1.35379   0.16360   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  19 Mg   2.65993   0.42461   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  12  20 Mg   2.48174   0.38423   0.00000   1.00000   4   1   1   2  0.00000  1.59800                  0             0.000
  12  21 Mg   2.33072   0.35565  -1.79535   0.84557  24  16   7   5  4.53800  1.98900  4.170E-02       0             1.696
  12  22 Mg   2.20315   0.33206  -0.08167   1.03230  93  47   7   5  8.39800  5.03540  1.036E-02 *     0             2.160
  12  23 Mg   2.09585   0.30958  -0.54817   1.02130 123  65   7   6  8.19300  2.77120  5.879E-03 *     0             2.641
  12  24 Mg   2.00524   0.28719   2.98526   0.78813 186  28   7  21  9.53248  9.28422  5.531E-03 *     0             2.418
  12  25 Mg   1.92823   0.26517  -0.71958   0.74122 135  33   7  16  6.16900  4.71160  9.895E-03 *     0             2.579
  12  26 Mg   1.86234   0.24439   0.35345   0.76158 215  51   7   3  7.95000  2.93833  9.084E-03 *     0             2.363
  12  27 Mg   1.80550   0.22606  -0.30474   0.66748  55  35   9   4  6.16100  1.94023  5.631E-03 *     0             1.987
  12  28 Mg   1.75598   0.21151   1.23058   0.49821  25  15   7   8  5.91690  5.17130  4.253E-02       0             1.549
  12  29 Mg   1.71225   0.20184   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  12  30 Mg   1.67295   0.19749   0.00000   1.00000  18   1   1   3  0.00000  1.78820                  0             0.000
  12  31 Mg   1.63684   0.19791   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  12  32 Mg   1.60275   0.20152   0.00000   1.00000  15   1   1   4  0.00000  2.32230                  0             0.000
  12  33 Mg   1.56960   0.20609   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  12  34 Mg   1.53634   0.20920   0.00000   1.00000   3   1   1   2  0.00000  0.66000                  0             0.000
  12  35 Mg   1.50203   0.20861   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  36 Mg   1.46606   0.20289   0.00000   1.00000   3   1   1   2  0.00000  0.66200                  0             0.000
  12  37 Mg   1.42890   0.19257   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  38 Mg   1.39126   0.17897   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  12  39 Mg   1.35379   0.16360   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  40 Mg   1.31710   0.14801   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  12  41 Mg   1.28172   0.13372   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  21 Al   2.33072   0.35565   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  22 Al   2.20315   0.33206   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  13  23 Al   2.09585   0.30958   0.00000   1.00000  16   1   1   1  0.00000  0.00000                  0             0.000
  13  24 Al   2.00524   0.28719  -1.98391   0.83668  51  24  14   3  4.48800  0.51100  5.730E-03 *     0             2.349
  13  25 Al   1.92823   0.26517  -0.96461   0.69501  72  25   7   3  5.28500  0.94490  1.002E-02 *     0             2.161
  13  26 Al   1.86234   0.24439  -2.00115   0.76426 214  35  14   6  4.62238  1.85062  4.741E-03 *     0             2.331
  13  27 Al   1.80550   0.22606   0.02448   0.59011 246  24   7   3  5.82700  1.01456  1.192E-02 *     0             2.372
  13  28 Al   1.75598   0.21151  -1.79484   0.67423 120  35  16  13  4.51694  2.65630  4.655E-03 *     0             2.112
  13  29 Al   1.71225   0.20184  -0.26123   0.59710  50  31  11   5  5.73300  2.86570  6.098E-03 *     0             2.142
  13  30 Al   1.67295   0.19749  -1.33342   0.57964  34  26  14   3  4.81400  0.68752  4.094E-02 *     0             2.865
  13  31 Al   1.63684   0.19791   0.00000   1.00000  17   1   1   1  0.00000  0.00000                  0             0.000
  13  32 Al   1.60275   0.20152   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  13  33 Al   1.56960   0.20609   0.00000   1.00000  15   1   1   1  0.00000  0.00000                  0             0.000
  13  34 Al   1.53634   0.20920   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  13  35 Al   1.50203   0.20861   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
  13  36 Al   1.46606   0.20289   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  37 Al   1.42890   0.19257   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  38 Al   1.39126   0.17897   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  39 Al   1.35379   0.16360   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  13  40 Al   1.31710   0.14801   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  41 Al   1.28172   0.13372   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  42 Al   1.24814   0.12199   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  43 Al   1.21679   0.11370   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  22 Si   2.20315   0.33206   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  23 Si   2.09585   0.30958   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  24 Si   2.00524   0.28719   0.00000   1.00000   3   1   1   2  0.00000  1.87900                  0             0.000
  14  25 Si   1.92823   0.26517   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  14  26 Si   1.86234   0.24439   0.37740   0.62203  71  21   7   4  6.10100  3.33635  5.555E-03 *     0             2.055
  14  27 Si   1.80550   0.22606  -0.10343   0.59630 126  25   7   5  5.61300  2.64760  1.106E-02 *     0             2.360
  14  28 Si   1.75598   0.21151   3.66151   0.59516 300  31   7  17  9.92920  8.58871  6.199E-03 *     0             2.328
  14  29 Si   1.71225   0.20184   1.12507   0.58102  99  35   7   7  7.19700  4.07990  6.506E-03 *     0             2.338
  14  30 Si   1.67295   0.19749   1.78007   0.52504 151  25   7  19  7.25580  6.86520  1.057E-02 *     0             2.193
  14  31 Si   1.63684   0.19791   0.62998   0.61964  97  50   7   4  7.00800  2.31693  3.156E-03 *     0             1.619
  14  32 Si   1.60275   0.20152   1.85159   0.49786  60  18   7   4  6.24200  4.98390  1.488E-02 *     0             1.914
  14  33 Si   1.56960   0.20609   0.00000   1.00000   9   1   1   3  0.00000  1.43490                  0             0.000
  14  34 Si   1.53634   0.20920   0.00000   1.00000  10   1   1   2  0.00000  3.32714                  0             0.000
  14  35 Si   1.50203   0.20861  -1.06340   0.45409  21  11   7   1  2.37700  0.00000  6.674E-02   F   0             1.989
  14  36 Si   1.46606   0.20289   0.00000   1.00000   4   1   1   2  0.00000  1.40800                  0             0.000
  14  37 Si   1.42890   0.19257   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  14  38 Si   1.39126   0.17897   0.00000   1.00000   7   1   1   2  0.00000  1.07400                  0             0.000
  14  39 Si   1.35379   0.16360   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
  14  40 Si   1.31710   0.14801   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  14  41 Si   1.28172   0.13372   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  14  42 Si   1.24814   0.12199   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  14  43 Si   1.21679   0.11370   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  44 Si   1.18804   0.10905   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  45 Si   1.16224   0.10750   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  15  24 P    2.00524   0.28719   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  15  25 P    1.92823   0.26517   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
